batch,semana,archivo_original,casos_detectados,fecha_revision_sugerida
batch_25,S3,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_74.pdf,10,2026-06-09
batch_26,S3,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_75.pdf,10,2026-06-09
batch_27,S3,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_78.pdf,10,2026-06-09
batch_28,S3,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_108.pdf,7,2026-06-10
batch_29,S3,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_152.pdf,9,2026-06-10
batch_30,S3,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_178.pdf,10,2026-06-10
batch_31,S3,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_213.pdf,8,2026-06-11
batch_32,S3,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_228.pdf,10,2026-06-11
batch_33,S3,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_232.pdf,6,2026-06-11
batch_34,S3,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_241.pdf,7,2026-06-12
batch_35,S3,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_254.pdf,8,2026-06-12
batch_36,S3,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_276.pdf,10,2026-06-12
