batch,semana,archivo_original,casos_detectados,fecha_revision_sugerida
batch_13,S2,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_37.pdf,7,2026-06-02
batch_14,S2,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_39.pdf,9,2026-06-02
batch_15,S2,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_70.pdf,9,2026-06-02
batch_16,S2,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_133.pdf,9,2026-06-03
batch_17,S2,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_135.pdf,10,2026-06-03
batch_18,S2,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_163.pdf,10,2026-06-03
batch_19,S2,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_194.pdf,8,2026-06-04
batch_20,S2,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_209.pdf,9,2026-06-04
batch_21,S2,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_226.pdf,8,2026-06-04
batch_22,S2,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_253.pdf,10,2026-06-05
batch_23,S2,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_292.pdf,10,2026-06-05
batch_24,S2,/home/edwinb/tesis/hemogramas-proyectoICC/Sin Limpieza/batch_293.pdf,1,2026-06-05
